# Precipitation.in.From DCP.Work@08073600.20170601.csv generated at 2018-02-28 09:50:49 (UTC+00:00) by AQUARIUS 17.4.79.0
# 
# Time series identifier: Precipitation.in.From DCP.Work@08073600
# Location: Buffalo Bayou at W Belt Dr, Houston, TX
# UTC offset: (UTC-06:00)
# Value units: in
# Value parameter: Precipitation
# Interpolation type: Preceding Totals
# Time series type: Derived
# 
# Export options: Corrected signal from 2017-06-01T06:01:00Z to 2018-01-01T05:59:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC, Timestamp (UTC-06:00), Value, Approval Level, Grade, Qualifiers
2017-06-01T06:15:00Z,2017-06-01 00:15:00,0,Working,50,
2017-06-01T06:30:00Z,2017-06-01 00:30:00,0,Working,50,
2017-06-01T06:45:00Z,2017-06-01 00:45:00,0,Working,50,
2017-06-01T07:00:00Z,2017-06-01 01:00:00,0,Working,50,
2017-06-01T07:15:00Z,2017-06-01 01:15:00,0.0100000000000051,Working,50,
2017-06-01T07:30:00Z,2017-06-01 01:30:00,0,Working,50,
2017-06-01T07:45:00Z,2017-06-01 01:45:00,0,Working,50,
2017-06-01T08:00:00Z,2017-06-01 02:00:00,0.00999999999999091,Working,50,
2017-06-01T08:15:00Z,2017-06-01 02:15:00,0,Working,50,
2017-06-01T08:30:00Z,2017-06-01 02:30:00,0,Working,50,
2017-06-01T08:45:00Z,2017-06-01 02:45:00,0,Working,50,
2017-06-01T09:00:00Z,2017-06-01 03:00:00,0,Working,50,
2017-06-01T09:15:00Z,2017-06-01 03:15:00,0,Working,50,
2017-06-01T09:30:00Z,2017-06-01 03:30:00,0,Working,50,
2017-06-01T09:45:00Z,2017-06-01 03:45:00,0,Working,50,
2017-06-01T10:00:00Z,2017-06-01 04:00:00,0,Working,50,
2017-06-01T10:15:00Z,2017-06-01 04:15:00,0,Working,50,
2017-06-01T10:30:00Z,2017-06-01 04:30:00,0,Working,50,
2017-06-01T10:45:00Z,2017-06-01 04:45:00,0,Working,50,
2017-06-01T11:00:00Z,2017-06-01 05:00:00,0,Working,50,
2017-06-01T11:15:00Z,2017-06-01 05:15:00,0,Working,50,
2017-06-01T11:30:00Z,2017-06-01 05:30:00,0,Working,50,
2017-06-01T11:45:00Z,2017-06-01 05:45:00,0,Working,50,
2017-06-01T12:00:00Z,2017-06-01 06:00:00,0,Working,50,
2017-06-01T12:15:00Z,2017-06-01 06:15:00,0,Working,50,
2017-06-01T12:30:00Z,2017-06-01 06:30:00,0,Working,50,
2017-06-01T12:45:00Z,2017-06-01 06:45:00,0,Working,50,
2017-06-01T13:00:00Z,2017-06-01 07:00:00,0,Working,50,
2017-06-01T13:15:00Z,2017-06-01 07:15:00,0,Working,50,
2017-06-01T13:30:00Z,2017-06-01 07:30:00,0,Working,50,
2017-06-01T13:45:00Z,2017-06-01 07:45:00,0,Working,50,
2017-06-01T14:00:00Z,2017-06-01 08:00:00,0,Working,50,
2017-06-01T14:15:00Z,2017-06-01 08:15:00,0,Working,50,
2017-06-01T14:30:00Z,2017-06-01 08:30:00,0,Working,50,
2017-06-01T14:45:00Z,2017-06-01 08:45:00,0,Working,50,
2017-06-01T15:00:00Z,2017-06-01 09:00:00,0,Working,50,
2017-06-01T15:15:00Z,2017-06-01 09:15:00,0,Working,50,
2017-06-01T15:30:00Z,2017-06-01 09:30:00,0,Working,50,
2017-06-01T15:45:00Z,2017-06-01 09:45:00,0,Working,50,
2017-06-01T16:00:00Z,2017-06-01 10:00:00,0,Working,50,
2017-06-01T16:15:00Z,2017-06-01 10:15:00,0,Working,50,
2017-06-01T16:30:00Z,2017-06-01 10:30:00,0,Working,50,
