Date	gauged	modelled
8/1/2017	5467	908
8/2/2017	9494	690
8/3/2017	8253	9379
8/4/2017	8849	18518
8/5/2017	9828	12894
8/6/2017	9344	14177
8/7/2017	14050	20743
8/8/2017	69097	68724
8/9/2017	26798	134198
8/10/2017	15692	92142
8/11/2017	14095	43184
8/12/2017	13840	20091
8/13/2017	12187	9758
8/14/2017	12138	4212
8/15/2017	11940	1729
8/16/2017	11598	864
8/17/2017	11242	523
8/18/2017	11392	414
8/19/2017	12853	376
8/20/2017	12740	1537
8/21/2017	14022	1503
8/22/2017	12952	592
8/23/2017	12082	488
8/24/2017	14366	971
8/25/2017	16814	12835
8/26/2017	69836	102353
8/27/2017	455666	594488
8/28/2017	947141	1265419
8/29/2017	1413736	1468942
8/30/2017	1120784	1225691
8/31/2017	601081	670524
9/1/2017	322489	276862
9/2/2017	182982	97018
9/3/2017	107375	33660
9/4/2017	69760	11327
9/5/2017	47635	3950
9/6/2017	36315	1663
9/7/2017	35504	1342
9/8/2017	35814	1121
9/9/2017	30802	726
9/10/2017	26985	527
9/11/2017	23707	438
9/12/2017	22076	392
9/13/2017	20335	367
9/14/2017	18920	354
9/15/2017	17730	340
9/16/2017	16352	331
9/17/2017	15414	321
9/18/2017	19876	386
9/19/2017	16037	5494
9/20/2017	15773	10166
9/21/2017	17186	7204
9/22/2017	20364	15766
9/23/2017	17669	18028
9/24/2017	13516	8990
9/25/2017	12128	4793
9/26/2017	12414	4416
9/27/2017	12740	2751
9/28/2017	13721	1539
9/29/2017	13827	3653
9/30/2017	12740	6330
